network,bot_name
23.98.142.176/28,OpenAI ChatGPT-User
23.98.179.16/28,OpenAI ChatGPT-User
23.98.186.176/28,OpenAI ChatGPT-User
23.98.186.192/28,OpenAI ChatGPT-User
23.98.186.64/28,OpenAI ChatGPT-User
23.98.186.96/28,OpenAI ChatGPT-User
4.151.119.48/28,OpenAI ChatGPT-User
4.151.241.240/28,OpenAI ChatGPT-User
4.151.71.176/28,OpenAI ChatGPT-User
4.196.118.112/28,OpenAI ChatGPT-User
4.196.198.80/28,OpenAI ChatGPT-User
4.197.115.112/28,OpenAI ChatGPT-User
4.197.19.176/28,OpenAI ChatGPT-User
4.197.22.112/28,OpenAI ChatGPT-User
4.197.64.0/28,OpenAI ChatGPT-User
4.197.64.16/28,OpenAI ChatGPT-User
4.197.64.48/28,OpenAI ChatGPT-User
4.197.64.64/28,OpenAI ChatGPT-User
4.205.128.176/28,OpenAI ChatGPT-User
40.116.73.208/28,OpenAI ChatGPT-User
40.75.14.224/28,OpenAI ChatGPT-User
40.84.181.32/28,OpenAI ChatGPT-User
40.84.221.208/28,OpenAI ChatGPT-User
40.84.221.224/28,OpenAI ChatGPT-User
51.8.155.112/28,OpenAI ChatGPT-User
51.8.155.48/28,OpenAI ChatGPT-User
51.8.155.64/28,OpenAI ChatGPT-User
51.8.155.80/28,OpenAI ChatGPT-User
52.148.129.32/28,OpenAI ChatGPT-User
52.154.22.48/28,OpenAI ChatGPT-User
52.156.77.144/28,OpenAI ChatGPT-User
52.159.227.32/28,OpenAI ChatGPT-User
52.159.249.96/28,OpenAI ChatGPT-User
52.173.123.0/28,OpenAI ChatGPT-User
52.173.219.112/28,OpenAI ChatGPT-User
52.173.219.96/28,OpenAI ChatGPT-User
52.173.234.16/28,OpenAI ChatGPT-User
52.173.234.80/28,OpenAI ChatGPT-User
52.173.235.80/28,OpenAI ChatGPT-User
52.176.139.176/28,OpenAI ChatGPT-User
52.187.246.128/28,OpenAI ChatGPT-User
52.190.137.144/28,OpenAI ChatGPT-User
52.190.137.16/28,OpenAI ChatGPT-User
52.190.139.48/28,OpenAI ChatGPT-User
52.190.142.64/28,OpenAI ChatGPT-User
52.190.190.16/28,OpenAI ChatGPT-User
52.225.75.208/28,OpenAI ChatGPT-User
52.230.163.32/28,OpenAI ChatGPT-User
52.230.164.176/28,OpenAI ChatGPT-User
52.231.30.48/28,OpenAI ChatGPT-User
52.231.34.176/28,OpenAI ChatGPT-User
52.231.39.144/28,OpenAI ChatGPT-User
52.231.39.192/28,OpenAI ChatGPT-User
52.231.49.48/28,OpenAI ChatGPT-User
52.231.50.64/28,OpenAI ChatGPT-User
52.236.94.144/28,OpenAI ChatGPT-User
52.242.132.224/28,OpenAI ChatGPT-User
52.242.132.240/28,OpenAI ChatGPT-User
52.242.245.208/28,OpenAI ChatGPT-User
52.252.113.240/28,OpenAI ChatGPT-User
52.255.109.112/28,OpenAI ChatGPT-User
52.255.109.128/28,OpenAI ChatGPT-User
52.255.109.144/28,OpenAI ChatGPT-User
52.255.109.80/28,OpenAI ChatGPT-User
52.255.109.96/28,OpenAI ChatGPT-User
52.255.111.0/28,OpenAI ChatGPT-User
52.255.111.112/28,OpenAI ChatGPT-User
52.255.111.16/28,OpenAI ChatGPT-User
52.255.111.32/28,OpenAI ChatGPT-User
52.255.111.48/28,OpenAI ChatGPT-User
52.255.111.80/28,OpenAI ChatGPT-User
57.154.174.112/28,OpenAI ChatGPT-User
57.154.175.0/28,OpenAI ChatGPT-User
57.154.187.32/28,OpenAI ChatGPT-User
68.154.28.96/28,OpenAI ChatGPT-User
68.218.30.112/28,OpenAI ChatGPT-User
68.220.57.64/28,OpenAI ChatGPT-User
68.221.67.160/28,OpenAI ChatGPT-User
68.221.67.192/28,OpenAI ChatGPT-User
68.221.67.224/28,OpenAI ChatGPT-User
68.221.67.240/28,OpenAI ChatGPT-User
68.221.75.16/28,OpenAI ChatGPT-User
74.249.86.176/28,OpenAI ChatGPT-User
74.7.35.112/28,OpenAI ChatGPT-User
74.7.35.48/28,OpenAI ChatGPT-User
74.7.36.64/28,OpenAI ChatGPT-User
74.7.36.80/28,OpenAI ChatGPT-User
74.7.36.96/28,OpenAI ChatGPT-User
